15722	0.3120
15723	0.4871
15726	0.2991
15728	0.4265
15731	0.4900
15734	0.3445
15738	0.2585
15739	0.3796
15740	0.3625
15741	0.4049
15744	0.3852
15745	0.2067
15749	0.4412
15751	0.4057
15753	0.3489
15754	0.3162
15756	0.3854
15757	0.5540
15758	0.4839
15761	0.3143
15762	0.5416
15763	0.5447
15764	0.3734
15765	0.3838
15766	0.3926
15768	0.3149
15769	0.3690
15771	0.3183
15772	0.3037
15774	0.3473
15778	0.3976
15779	0.2457
15781	0.4835
15783	0.3996
15784	0.2859
15786	0.2202
15792	0.3562
15794	0.3327
15796	0.3131
15800	0.4542
15803	0.2316
15804	0.4358
15805	0.4215
15806	0.4251
15807	0.3125
15809	0.5815
15810	0.3545
15812	0.4338
15813	0.2731
15817	0.5568
15822	0.4896
15823	0.3334
15824	0.4522
15826	0.4237
15830	0.3198
15831	0.4810
15832	0.3125
15833	0.4199
15834	0.3797
15835	0.2687
15837	0.4881
15840	0.4404
15842	0.2771
15844	0.2313
15845	0.5719
15856	0.3953
15858	0.3659
15860	0.5469
15864	0.3888
15865	0.5192
15866	0.2598
15869	0.3185
15872	0.3348
15874	0.4847
15880	0.4526
15882	0.4347
15883	0.5953
15884	0.4691
15888	0.4404
15889	0.2832
15890	0.4662
15891	0.3816
15892	0.5272
15895	0.4537
15896	0.2546
15901	0.4630
15902	0.4289
15904	0.2123
15905	0.2232
15910	0.5504
15911	0.2511
15913	0.5479
15916	0.2123
15917	0.2616
15920	0.2462
15921	0.2609
15926	0.2554
15954	0.2260
15957	0.5994
15960	0.2696
15965	0.2538
15969	0.3469
15970	0.3310
15972	0.3949
15974	0.3731
15976	0.5185
15977	0.3123
15978	0.2438
15981	0.2929
15982	0.3215
15983	0.3592
15986	0.2849
15987	0.2064
15990	0.4142
15992	0.2454
15993	0.3359
15994	0.5712
15997	0.3249
15999	0.3185
16000	0.2291
16001	0.5675
16002	0.3404
16004	0.4271
16005	0.3977
16008	0.3779
16011	0.2808
16013	0.2388
16014	0.2465
16015	0.4808
16016	0.2544
16017	0.3408
16019	0.2202
16020	0.4995
16022	0.4588
16024	0.3612
16026	0.3931
16027	0.2365
16032	0.3387
16033	0.2658
16036	0.2172
16042	0.2526
16043	0.3106
16044	0.3103
16045	0.3891
16049	0.3403
16052	0.3536
16053	0.5067
16054	0.5892
16057	0.3757
16058	0.4467
16060	0.2544
16061	0.2885
16065	0.3454
16067	0.2349
16074	0.4985
16075	0.3710
16077	0.3119
16078	0.3315
16079	0.3740
16080	0.4390
16081	0.2330
16082	0.4602
16083	0.3474
16084	0.2671
16085	0.3971
16090	0.5256
16091	0.2840
16092	0.5334
16093	0.4058
16095	0.2899
16096	0.2745
16098	0.5518
16099	0.2903
16100	0.2488
16102	0.3776
16103	0.3220
16104	0.5290
16105	0.5532
16106	0.2005
16107	0.4233
16109	0.5801
16110	0.4120
16112	0.4769
16113	0.4101
16114	0.3361
16115	0.5759
16117	0.4487
16118	0.2970
16119	0.3469
16120	0.2289
16122	0.3250
